Торгівельне найменування,Міжнародне непатентоване найменування,Склад (діючі),Код АТС,Заявник: назва українською,Заявник: країна,Заявник: адреса,Виробник: назва українською,Виробник: країна,Виробник: адреса,Номер Реєстраційного посвідчення,Термін придатності: значення,Термін придатності: одиниця вимірювання,Допоміжні речовини,Діючі речовини,Посилання на медикамент
ЗИЛАКСЕРА®,Pregabalin,1 капсула тверда містить прегабаліну 75 мг,N05A X12,УОРЛД МЕДИЦИН ІЛАЧ САН. ВЕ ТІДЖ. А.Ш.,Туреччина,"15 Теммуз Мах. Джамі Йолу Джад. №50 Гюнешлі/Багджилар, Стамбул, Туреччина",УОРЛД МЕДИЦИН ІЛАЧ САН. ВЕ ТІДЖ. А.Ш.,Туреччина,"15 Теммуз Махаллеші Джамі Йолу Джаддесі №50 Гюнешлі Багджилар/Стамбул, Туреччина",UA/16529/01/01,3,рік,"лактози моногідрат, целюлоза мікрокристалічна, гідроксипропілцелюлоза, крохмаль кукурудзяний, магнію стеарат, заліза оксид червоний (Е 172) — для таблеток по 10 мг та 30 мг, заліза оксид жовтий (Е 172) — для таблеток по 15 мг, індигокармін (Е 132) — для таблеток по 5 мг",арипіпразол,https://compendium.com.ua/dec/326635/
ЗИЛОЛА®,Comb drug,без рецепта,R06A E09,,Біологіше Хайльміттель Хеель ГмбХ,Німеччина,1,Біологіше Хайльміттель Хеель ГмбХ,Німеччина,,5 років,5,,Левоцетиризину дигідрохлорид,https://compendium.com.ua/dec/263157/
ЗИНАЦЕФ™,Haloperidol,"галоперидолу не менше 99,0 % та не більше 101,0 % у перерахуванні на суху речовину",J01D C02,"ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу""",Україна,"Україна, 61013, м. Харків, вул. Шевченка, 22",Лейк Кемікалз Пвт. Лтд.,Індія,"№21М, Аттібеле Індастріал Ареа, Анекал Талук, Бангалор – 562 107 Індія",UA/11395/01/01,5,рік,,Цефуроксим,https://compendium.com.ua/dec/266081/
ЗИНЕРИТ®,Haloperidol,"галоперидолу не менше 99,0 % та не більше 101,0 % у перерахуванні на суху речовину",D10A F52,"ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу""",Україна,"Україна, 61013, м. Харків, вул. Шевченка, 22",Лейк Кемікалз Пвт. Лтд.,Індія,"№21М, Аттібеле Індастріал Ареа, Анекал Талук, Бангалор – 562 107 Індія",UA/11395/01/01,5,рік,"диізопропіл себакат, етанол","Еритроміцин, Цинку ацетат",https://compendium.com.ua/dec/269105/
ЗИОМІЦИН®,Haloperidol,1 мл розчину містить галоперидолу 5 мг,J01F A10,"ВАТ ""Гедеон Ріхтер""",Угорщина,"Н-1103, Будапешт, вул. Демреї, 19-21, Угорщина","ВАТ ""Гедеон Ріхтер""",Угорщина,"Н-1103, Будапешт, вул. Демреї, 19-21, Угорщина",UA/7271/01/01,5,рік,,Азитроміцин,https://compendium.com.ua/dec/261754/
ЗИРОМИН,Haloperidol,"1 таблетка містить галоперидолу 1,5 мг",J01F A10,"ВАТ ""Гедеон Ріхтер""",Угорщина,"Н-1103, Будапешт, вул. Демреї, 19-21, Угорщина","ВАТ ""Гедеон Ріхтер""",Угорщина,"Н-1103, Будапешт, вул. Демреї, 19-21, Угорщина",UA/7271/02/01,5,рік,,Азитроміцин,https://compendium.com.ua/dec/263685/
ЗИТИГА®,Haloperidol,"1 мл розчину містить галоперидолу 50 мг (у вигляді галоперидолу деканоату 70,52 мг)",L02B X03,"ВАТ ""Гедеон Ріхтер""",Угорщина,"Н-1103, Будапешт, вул. Демреї, 19-21, Угорщина","ВАТ ""Гедеон Ріхтер""",Угорщина,"Н-1103, Будапешт, вул. Демреї, 19-21, Угорщина",UA/7271/01/02,3,рік,"лактоза, моногідрат",Абіратерон,https://compendium.com.ua/dec/264959/
ЗИТРОКС,Haloperidol,1 таблетка містить галоперидолу 5 мг,J01F A10,"ВАТ ""Гедеон Ріхтер""",Угорщина,"Н-1103, Будапешт, вул. Демреї, 19-21, Угорщина","ВАТ ""Гедеон Ріхтер""",Угорщина,"Н-1103, Будапешт, вул. Демреї, 19-21, Угорщина",UA/7271/02/02,5,рік,"кальцію гідрофосфат, крохмаль прежелатинізований, кросповідон, полісорбат 80, кремнію діоксид колоїдний безводний, целюлоза мікрокристалічна, натрію лаурилсульфат, тальк, магнію стеарат, гіпромелоза, титану діоксид (Е 171), поліетиленгліколь 400",Азитроміцин,https://compendium.com.ua/dec/267804/
ЗІКАЛОР,Comb drug,"100 мл препарату містить: Carduus D1 2 мл, Taraxacum D6 10 мл, Chelidonium D6 10 мл, Natrium sulfuricum D12 10 мл, Phosphorus D12 10 мл;/1 мл розчину містить 25 крапель",N05A X12,Ріхард Біттнер АГ,Австрія,"Райзнерштрассе 55-57, А-1030 Відень, Австрія",Ріхард Біттнер АГ,Австрія,"Оссіахерштрассе 7, А-9560 Фельдкірхен, Австрія",UA/1970/02/01,5,рік,,Арипіпразол,https://compendium.com.ua/dec/340437/
ЗІННАТ™,Comb drug,"1 таблетка вкрита оболонкою, містить магнію глутамату гідроброміду (безводного) (МГГ) 75 мг; гамма-аміномасляної кислоти (ГАМК) 75 мг; гамма-аміно-бета-оксимасляної кислоти (ГАБОМ) 37 мг; вітаміну В6 (піридоксину гідрохлориду) 37 мг",J01D C02,"Феррер Інтернасіональ, С.А.",Іспанія,"Гран Віа Карлос III, 94, 08028 Барселона, Іспанія","Феррер Інтернасіональ, С.А.",Іспанія,"c/Хоан Бускайа, 1-9, 08173 Сант Кугат дель Байес (Барселона), Іспанiя",UA/11426/01/01,5,рік,"целюлоза мікрокристалічна, натрію кроскармелоза, натрію лаурилсульфат, олія рослинна гідрогенізована, кремнію діоксид колоїдний безводний, гіпромеллоза, пропіленгліколь, метилпарагідроксибензоат (е 218), пропілпарагидроксібензоат (е 216), опаспрей білий м-1-7120.,  целюлоза мікрокристалічна, натрію кроскармелоза, натрію лаурилсульфат, олія рослинна гідрогенізована, кремнію діоксид колоїдний безводний, гіпромеллоза, пропіленгліколь, метилпарагідроксибензоат (е 218), пропілпарагидроксібензоат (е 216), опаспрей білий м-1-7120.,  целюлоза мікрокристалічна, натрію кроскармелоза, натрію лаурилсульфат, олія рослинна гідрогенізована, кремнію діоксид колоїдний безводний, гіпромеллоза, пропіленгліколь, метилпарагідроксибензоат (е 218), пропілпарагидроксібензоат (е 216), опаспрей білий м-1-7120.,  повідон к-30, кислота стеаринова, цукроза, ароматизатор фруктовий, аспартам (е951), камедь ксантанова, ацесульфам калію",Цефуроксим,https://compendium.com.ua/dec/270441/
